Id,Name,Label,Description,LicenseId,IsCustom,IsOwnedByProfile,ProfileId,Profile.Name,NamespacePrefix,Type,HasActivationRequired,PermissionSetGroupId,CreatedDate,LastModifiedDate
0PS5b000000HhLVGA0,X00e5b000000YaQCAA0,00e5b000000YaQCAA0,,100U00000000paUIAQ,true,true,00e5b000000YaQCAA0,FSEReports Profile,,Profile,false,,2021-09-29T20:21:40.000+0000,2026-06-30T03:31:13.000+0000
0PS5b000000HhLaGAK,X00e5b000000YaQHAA0,00e5b000000YaQHAA0,,1000B0000009MXxQAM,true,true,00e5b000000YaQHAA0,FSE Portal,,Profile,false,,2021-09-29T20:23:59.000+0000,2026-08-12T10:06:52.000+0000
0PS5b000000HhtwGAC,X00e5b000000YaWZAA0,00e5b000000YaWZAA0,,100U00000000paUIAQ,true,true,00e5b000000YaWZAA0,InvoicePDF Profile,,Profile,false,,2021-11-04T18:52:32.000+0000,2026-06-30T03:31:13.000+0000
0PS5b000000HiifGAC,X00e5b000000YagGAAS,00e5b000000YagGAAS,,100U00000000paUIAQ,true,true,00e5b000000YagGAAS,Sodexo Portal Profile,,Profile,false,,2022-01-17T18:21:27.000+0000,2026-06-30T03:31:13.000+0000
0PS5b000000HitsGAC,X00e5b000000Yah9AAC,00e5b000000Yah9AAC,,100U00000000paUIAQ,true,true,00e5b000000Yah9AAC,Sodexo Profile,,Profile,false,,2022-01-28T18:49:36.000+0000,2026-06-30T03:31:13.000+0000
0PS5b000000HitxGAC,X00e5b000000YahEAAS,00e5b000000YahEAAS,,1000B0000009MXxQAM,true,true,00e5b000000YahEAAS,Sodexo Portal,,Profile,false,,2022-01-28T19:03:35.000+0000,2026-08-12T10:06:52.000+0000
0PS5b000000HjUyGAK,X00e5b000000YaroAAC,00e5b000000YaroAAC,,100U0000000Hb0mIAC,true,true,00e5b000000YaroAAC,Managing Director - UK,,Profile,false,,2022-02-14T09:42:45.000+0000,2026-08-12T10:06:52.000+0000
0PS5b000000HjV3GAK,X00e5b000000YartAAC,00e5b000000YartAAC,,100U0000000Hb0mIAC,true,true,00e5b000000YartAAC,Commercial Manager - UK,,Profile,false,,2022-02-14T10:00:35.000+0000,2026-08-13T08:17:26.000+0000
0PS5b000000HjV8GAK,X00e5b000000YaryAAC,00e5b000000YaryAAC,,100U0000000Hb0mIAC,true,true,00e5b000000YaryAAC,Commercial Sales - UK,,Profile,false,,2022-02-14T10:09:04.000+0000,2026-08-12T10:06:52.000+0000
0PS5b000000HjVDGA0,X00e5b000000Yas3AAC,00e5b000000Yas3AAC,,100U0000000Hb0mIAC,true,true,00e5b000000Yas3AAC,Commercial Finance - UK,,Profile,false,,2022-02-14T10:13:58.000+0000,2026-08-12T10:06:52.000+0000
0PS5b000000HjVNGA0,X00e5b000000Yas8AAC,00e5b000000Yas8AAC,,1000B0000009MXxQAM,true,true,00e5b000000Yas8AAC,Engineer UK - FSE Portal,,Profile,false,,2022-02-14T10:24:37.000+0000,2026-08-12T10:06:52.000+0000
0PS5b000000HjVSGA0,X00e5b000000YasDAAS,00e5b000000YasDAAS,,100U0000000Hb0mIAC,true,true,00e5b000000YasDAAS,Ops Coordinator - UK,,Profile,false,,2022-02-14T10:32:34.000+0000,2026-08-12T10:06:52.000+0000
0PS5b000000HjVcGAK,X00e5b000000YasIAAS,00e5b000000YasIAAS,,100U0000000Hb0mIAC,true,true,00e5b000000YasIAAS,QC/Inspection/Stores - UK,,Profile,false,,2022-02-14T10:42:33.000+0000,2026-08-12T10:06:52.000+0000
0PS5b000000HjVhGAK,X00e5b000000YasNAAS,00e5b000000YasNAAS,,100U0000000Hb0mIAC,true,true,00e5b000000YasNAAS,Logistics and Inventory Manager - UK,,Profile,false,,2022-02-14T10:59:42.000+0000,2026-08-12T10:06:52.000+0000
0PS5b000000HjYMGA0,X00e5b000000YasXAAS,00e5b000000YasXAAS,,100U00000000paUIAQ,true,true,00e5b000000YasXAAS,Michael Asmer Profile,,Profile,false,,2022-02-15T17:55:10.000+0000,2026-06-30T03:31:13.000+0000
0PS5b000000HjYRGA0,X00e5b000000YascAAC,00e5b000000YascAAC,,1000B0000009MXxQAM,true,true,00e5b000000YascAAC,Michael Asmer Portal,,Profile,false,,2022-02-15T18:02:36.000+0000,2026-08-12T10:06:52.000+0000
0PS5b000000Hk2qGAC,X00e5b000000YaxXAAS,00e5b000000YaxXAAS,,1005b000000GwZnAAK,false,true,00e5b000000YaxXAAS,Sales Insights Integration User,,Profile,false,,2022-03-15T14:13:20.000+0000,2026-08-12T10:06:52.000+0000
0PS5b000000Hk2rGAC,X00e5b000000YaxYAAS,00e5b000000YaxYAAS,,1005b000000GwZoAAK,false,true,00e5b000000YaxYAAS,SalesforceIQ Integration User,,Profile,false,,2022-03-15T14:13:22.000+0000,2026-08-12T10:06:52.000+0000
0PS5b000000Hk7RGAS,X00e5b000000YaxrAAC,00e5b000000YaxrAAC,,100U00000000paUIAQ,true,true,00e5b000000YaxrAAC,Renovo Solutions Profile,,Profile,false,,2022-03-21T21:06:48.000+0000,2026-06-30T03:31:13.000+0000
0PS5b000000Hk7WGAS,X00e5b000000YaxwAAC,00e5b000000YaxwAAC,,1000B0000009MXxQAM,true,true,00e5b000000YaxwAAC,Renovo Portal,,Profile,false,,2022-03-21T21:38:15.000+0000,2026-08-12T10:06:52.000+0000
0PS5b000000HmSJGA0,X00e5b000000Yb3VAAS,00e5b000000Yb3VAAS,,100U0000000Hb0mIAC,true,true,00e5b000000Yb3VAAS,Engineer - UK,,Profile,false,,2022-08-02T10:17:03.000+0000,2026-08-12T10:06:52.000+0000
