Id,ParentId,SobjectType,PermissionsRead,PermissionsCreate,PermissionsEdit,PermissionsDelete,PermissionsViewAllRecords,PermissionsModifyAllRecords
1100B000007sgrCQAQ,0PSU0000000SUL2OAO,Shipment,true,true,true,false,false,false
1100B000007sgrDQAQ,0PSU0000000SUL2OAO,MaintenancePlan,true,true,true,false,false,false
1100B000007sgrEQAQ,0PSU0000000SUL2OAO,OperatingHours,true,true,true,false,false,false
1100B000007sgrFQAQ,0PSU0000000SUL2OAO,ServiceResource,true,true,true,false,false,false
1100B000007sgrGQAQ,0PSU0000000SUL2OAO,ProductRequest,true,true,true,false,false,false
1100B000007sgrHQAQ,0PSU0000000SUL2OAO,WorkType,true,true,true,false,false,false
1100B000007sgrIQAQ,0PSU0000000SUL2OAO,ServiceAppointment,true,true,true,false,false,false
1100B000007sgrJQAQ,0PSU0000000SUL2OAO,ProductTransfer,true,true,true,false,false,false
1100B000007sgrKQAQ,0PSU0000000SUL2OAO,ProductItem,true,true,true,false,false,false
1100B000007sgrLQAQ,0PSU0000000SUL5OAO,TimeSheet,true,true,true,false,false,false
1100B000007sgrOQAQ,0PSU0000000SUL5OAO,OperatingHours,true,true,true,false,false,false
1100B000007sgrQQAQ,0PSU0000000SUL5OAO,ServiceResource,true,true,true,false,false,false
1100B000007sgrRQAQ,0PSU0000000SUL5OAO,ProductRequest,true,true,true,false,false,false
1100B000007sgrSQAQ,0PSU0000000SUL5OAO,ServiceTerritory,true,true,true,false,false,false
1100B000007sgrTQAQ,0PSU0000000SUL5OAO,WorkType,true,true,true,false,false,false
1100B000007sgrUQAQ,0PSU0000000SUL5OAO,Shipment,true,true,true,false,false,false
1100B000007sgrVQAQ,0PSU0000000SUL5OAO,ServiceAppointment,true,true,true,false,false,false
1100B000007sgrWQAQ,0PSU0000000SUL5OAO,ProductTransfer,true,true,true,false,false,false
1100B000007sgrXQAQ,0PSU0000000SUL5OAO,MaintenancePlan,true,true,true,false,false,false
1100B000007sgrYQAQ,0PSU0000000SUL5OAO,ProductItem,true,true,true,false,false,false
1100B000007sgrgQAA,0PSU0000000SUKzOAO,ProductRequest,true,true,true,true,true,true
1100B000007sgrhQAA,0PSU0000000SUKzOAO,ProductTransfer,true,true,true,true,true,true
1100B000007sgriQAA,0PSU0000000SUKzOAO,TimeSheet,true,true,true,true,true,true
1100B000007sgrlQAA,0PSU0000000SUKzOAO,Shipment,true,true,true,true,true,true
1100B000007sgrmQAA,0PSU0000000SUKzOAO,MaintenancePlan,true,true,true,true,true,true
1100B000007sgwZQAQ,0PS0B000000b4dnWAA,pi__AsyncRequest__c,true,false,false,false,true,false
1100B000007sgwaQAA,0PS0B000000b4dnWAA,pi__Category_Contact_Score__c,true,false,false,false,true,false
1100B000007sgwbQAA,0PS0B000000b4dnWAA,pi__Category_Lead_Score__c,true,false,false,false,true,false
1100B000007sgwcQAA,0PS0B000000b4dnWAA,pi__EngageCampaignRecipient__c,true,false,false,false,true,false
1100B000007sgwdQAA,0PS0B000000b4dnWAA,pi__LDFilter__c,true,false,false,false,true,false
1100B000007sgweQAA,0PS0B000000b4dnWAA,pi__ObjectChangeLog__c,true,false,false,false,true,false
1100B000007sgwfQAA,0PS0B000000b4dnWAA,pi__PardotTask__c,true,false,false,false,true,false
1100B000007sgwgQAA,0PS0B000000b4dnWAA,pi__Pardot_Scoring_Category__c,true,false,false,false,true,false
1100B000007sgx2QAA,0PS0B000000b4dnWAA,Calibration__c,true,true,true,false,true,false
1100B000007sgx3QAA,0PS0B000000b4dnWAA,Equipment__c,true,true,true,false,true,false
1100B000007sgx4QAA,0PS0B000000b4dnWAA,Preventive_Maintenance__c,true,true,true,false,true,false
1100B000007sgx5QAA,0PS0B000000b4dnWAA,Document_Trained_Person__c,true,true,true,false,true,false
1100B000007sgx6QAA,0PS0B000000b4dnWAA,Group_Trained_Person__c,true,true,true,false,true,false
1100B000007sgx7QAA,0PS0B000000b4dnWAA,Hands_On_Trained_Person__c,true,true,true,false,true,false
1100B000007sgx8QAA,0PS0B000000b4dnWAA,Training_Item__c,true,false,false,false,false,false
1100B000007sgx9QAA,0PS0B000000b4dnWAA,CAPA_Action_Plan__c,true,true,true,false,true,false
1100B000007sgxAQAQ,0PS0B000000b4dnWAA,CAPA_Action__c,true,true,true,false,true,false
1100B000007sgxBQAQ,0PS0B000000b4dnWAA,CAPA__c,true,true,true,false,true,false
1100B000007sgxCQAQ,0PS0B000000b4dnWAA,Complaint__c,true,true,true,false,true,false
1100B000007sgxDQAQ,0PS0B000000b4dnWAA,abc__c,true,false,false,false,true,false
1100B000007sgxEQAQ,0PS0B000000b4dnWAA,Product_Repair__c,true,true,true,false,true,false
1100B000007sgxgQAA,0PS0B000000b4dnWAA,ProductTestData__c,true,false,false,false,true,false
1100B000007sgxhQAA,0PS0B000000b4dnWAA,ProductTest__c,true,true,true,false,true,false
1100B000007sgxoQAA,0PS0B000000b4dnWAA,RMA__c,true,true,true,false,true,false
1100B000007sgxpQAA,0PS0B000000b4dnWAA,Move_Location__c,true,true,true,false,true,false
1100B000007sgxqQAA,0PS0B000000b4dnWAA,Review_Status__c,true,true,true,false,true,false
1100B000007sgxrQAA,0PS0B000000b4dnWAA,Account,true,true,true,false,true,false
1100B000007sgxuQAA,0PS0B000000b4dnWAA,Asset,true,false,false,false,true,false
1100B000007sgxwQAA,0PS0B000000b4dnWAA,Campaign,true,false,false,false,true,false
1100B000007sgxxQAA,0PS0B000000b4dnWAA,Case,true,true,true,false,true,false
1100B000007sgy5QAA,0PS0B000000b4dnWAA,Contact,true,true,true,false,true,false
1100B000007sgy6QAA,0PS0B000000b4dnWAA,Contract,true,false,false,false,true,false
1100B000007sgy7QAA,0PS0B000000b4dnWAA,ContractLineItem,true,true,true,true,true,true
1100B000007sgy9QAA,0PS0B000000b4dnWAA,Document,true,false,false,false,true,false
1100B000007sgyAQAQ,0PS0B000000b4dnWAA,DuplicateRecordSet,true,false,false,false,true,false
1100B000007sgyDQAQ,0PS0B000000b4dnWAA,Entitlement,true,true,true,true,true,true
1100B000007sgyEQAQ,0PS0B000000b4dnWAA,EntitlementContact,true,true,true,true,true,true
1100B000007sgyVQAQ,0PS0B000000b4dnWAA,Lead,true,false,false,false,true,false
1100B000007sgybQAA,0PS0B000000b4dnWAA,Macro,true,false,false,false,true,false
1100B000007sgykQAA,0PS0B000000b4dnWAA,Opportunity,true,true,true,false,true,false
1100B000007sgylQAA,0PS0B000000b4dnWAA,Order,true,false,false,false,true,false
1100B000007sgyoQAA,0PS0B000000b4dnWAA,Pricebook2,true,true,true,false,false,false
1100B000007sgypQAA,0PS0B000000b4dnWAA,Product2,true,true,true,true,false,false
1100B000007sgytQAA,0PS0B000000b4dnWAA,PushTopic,true,false,false,false,false,false
1100B000007sgyvQAA,0PS0B000000b4dnWAA,QuickText,true,true,true,true,true,true
1100B000007sgywQAA,0PS0B000000b4dnWAA,Quote,true,true,true,true,true,true
1100B000007sgyzQAA,0PS0B000000b4dnWAA,ServiceContract,true,true,true,true,true,true
1100B000007sgz1QAA,0PS0B000000b4dnWAA,SocialPost,true,false,false,false,true,false
1100B000007sgz2QAA,0PS0B000000b4dnWAA,Solution,true,false,false,false,true,false
1100B000007sgz3QAA,0PS0B000000b4dnWAA,StreamingChannel,true,false,false,false,true,false
1100B000007sgzHQAQ,0PS0B000000b4dnWAA,WorkOrder,true,true,true,false,true,false
1100B000007sgzTQAQ,0PS0B000000b4dnWAA,Evaluation_Natalie__c,true,true,true,false,true,false
1100B000007shaXQAQ,0PS0B000000icCtWAI,CAPA_Action_Plan__c,true,true,true,false,true,false
1100B000007shaYQAQ,0PS0B000000icCtWAI,CAPA_Action__c,true,true,true,false,true,false
1100B000007shacQAA,0PSU0000000ORDhOAO,Product2,true,false,false,false,false,false
1100B000007shadQAA,0PSU0000000ORDhOAO,Pricebook2,true,false,false,false,false,false
1100B000007slFgQAI,0PSU0000000OMREOA4,Evaluation_Natalie__c,true,true,true,false,true,false
1100B000007smFkQAI,0PS0B000000ic4uWAA,Prototype__c,true,true,true,false,true,false
1100B000007smFpQAI,0PS0B000000icCtWAI,Equipment__c,true,true,true,false,true,false
1100B000007smFqQAI,0PS0B000000icCtWAI,Preventive_Maintenance__c,true,true,true,false,true,false
1100B000007smFrQAI,0PS0B000000icCtWAI,Prototype__c,true,true,true,false,true,false
1100B000007smFsQAI,0PS0B000000icCtWAI,Complaint__c,true,false,false,false,true,false
1100B000007smFtQAI,0PS0B000000icCtWAI,Calibration__c,true,true,true,false,true,false
1100B000007so6AQAQ,0PS0B000000b4wuWAA,Account,true,false,false,false,false,false
1100B000007so6BQAQ,0PS0B000000b4wuWAA,Address,true,true,true,false,false,false
1100B000007so6DQAQ,0PS0B000000b4wuWAA,Case,true,true,true,false,false,false
1100B000007so6EQAQ,0PS0B000000b4wuWAA,Contact,true,true,true,false,false,false
1100B000007so6HQAQ,0PS0B000000b4wuWAA,Entitlement,true,true,true,false,false,false
