"C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31","C32"
"0PS5b000000HjoyGAC","Reports_and_Dashboards_with_View_All_Data","Reports and Dashboards with View All Data","","false","","","true","Regular","","false","","","","","","23","View All Data","Can Use New Dashboard Builder; Change Dashboard Colors; Create Customize Dashboards; Create Customize Reports; Create Dashboard Folders; Create Report Folders; Create Report In Lightning; Edit My Dashboards; Edit My Reports; Export Report; Manage Custom Report Types; Manage Dashbds In Pub Folders; Manage Reports In Pub Folders; New Report Builder; Run Reports; Schedule Job; Schedule Reports; View All Data; View Event Log Files; View Public Dashboards; View Public Reports; View Roles; View Setup","360","360","0","0","0","344","0","0","0","0","2022-03-03 18:22:56 UTC","2025-05-30 21:01:41 UTC","https://probomedical.my.salesforce.com/0PS5b000000HjoyGAC"
"0PS4O000000WtRXWA0","Return_Opportunities","Return Opportunities","","false","","","true","Regular","","false","","","","","","0","","","1","1","1","1","1","1","1","118","0","1","2019-08-12 16:30:32 UTC","2025-05-30 21:01:41 UTC","https://probomedical.my.salesforce.com/0PS4O000000WtRXWA0"
"0PS4O000000zpLlWAI","Return_from_Sale_RMA","Return from Sale RMA","","false","","","true","Regular","","false","","","","","","0","","","1","1","1","1","1","1","0","0","0","1","2020-08-18 17:52:16 UTC","2025-05-30 21:01:41 UTC","https://probomedical.my.salesforce.com/0PS4O000000zpLlWAI"
"0PSRo0000004gWvOAI","BREDesigner","Rule Engine Designer","Provides read and edit access to the calculate run time objects.","false","","","false","Standard","force","false","","","","","","3","","Interaction Calc Admin Perm; Run Decision Matrix; Run Expression Set","13","13","12","12","12","0","0","0","0","0","2024-10-17 01:36:06 UTC","2026-08-15 06:02:59 UTC","https://probomedical.my.salesforce.com/0PSRo0000004gWvOAI"
"0PSRo0000004gWwOAI","BRERuntime","Rule Engine Runtime","Provides read access to the calculate run time objects.","false","","","false","Standard","force","false","","","","","","3","","Interaction Calc User Perm; Run Decision Matrix; Run Expression Set","13","13","0","0","0","0","0","0","0","0","2024-10-17 01:36:06 UTC","2026-08-15 06:02:59 UTC","https://probomedical.my.salesforce.com/0PSRo0000004gWwOAI"
"0PSRo0000008ukzOAA","Run_Convert_Proforma","Run Convert Proforma","","false","","","true","Regular","","false","","","","","","0","","","0","0","0","0","0","0","0","0","1","0","2025-09-22 13:59:51 UTC","2025-09-22 13:59:51 UTC","https://probomedical.my.salesforce.com/0PSRo0000008ukzOAA"
"0PSRo0000008PHgOAM","sfdc_scrt2","SCRT2 Integration User","Give SCRT2 Integration User necessary access","false","","","true","Session","sfdcInternalInt","true","","","","","","0","","","1","1","0","0","0","1","0","0","0","0","2025-08-01 04:08:33 UTC","2025-08-01 04:08:34 UTC","https://probomedical.my.salesforce.com/0PSRo0000008PHgOAM"
"0PSRo000000BGELOA4","SSO_Avoid","SSO Avoid","","false","","","true","Regular","","false","","","","","","0","","","0","0","0","0","0","0","0","0","0","0","2026-01-19 14:27:01 UTC","2026-01-19 14:27:37 UTC","https://probomedical.my.salesforce.com/0PSRo000000BGELOA4"
"0PS4O000000zptSWAQ","SWO_HWO","SWO/HWO","","false","","","true","Regular","","false","","","","","","0","","","2","2","2","2","2","2","2","14","1","2","2020-10-22 16:02:07 UTC","2025-05-30 21:01:41 UTC","https://probomedical.my.salesforce.com/0PS4O000000zptSWAQ"
"0PSRo0000006IOrOAM","SalesActionPlans","Sales Action Plans","Gives users access to Sales Action Plans.","false","","","false","Standard","force","false","","","","","","1","","Sales Action Plans User Access","2","2","0","0","0","0","0","0","0","0","2025-02-27 23:09:14 UTC","2026-08-15 06:02:59 UTC","https://probomedical.my.salesforce.com/0PSRo0000006IOrOAM"
