"Id","ParentId","SobjectType","PermissionsRead","PermissionsCreate","PermissionsEdit","PermissionsDelete","PermissionsViewAllRecords","PermissionsModifyAllRecords"
"1104O000009dR1sQAE","0PSU0000000SUL5OAO","EngagementChannelType","true","true","true","true","false","false"
"1104O000009dR1vQAE","0PSU0000000SUL5OAO","PartyConsent","true","true","true","true","false","false"
"1104O000009dR1xQAE","0PSU0000000SUL5OAO","CommSubscriptionTiming","true","true","true","true","false","false"
"1104O000009dR1yQAE","0PSU0000000SUL5OAO","CommSubscriptionChannelType","true","true","true","true","false","false"
"1104O000009dR1zQAE","0PSU0000000SUL5OAO","CommSubscription","true","true","true","true","false","false"
"1104O000009dR20QAE","0PSU0000000SUL5OAO","CommSubscriptionConsent","true","true","true","true","false","false"
"1104O000009dR23QAE","0PSU0000000SUKzOAO","DelegatedAccount","true","true","true","true","true","true"
"1104O000009dR2CQAU","0PSU0000000SUKzOAO","CommSubscriptionTiming","true","true","true","true","true","true"
"1104O000009dR2HQAU","0PSU0000000SUKzOAO","CommSubscription","true","true","true","true","true","true"
"1104O000009dR2NQAU","0PSU0000000SUKzOAO","EngagementChannelType","true","true","true","true","true","true"
"1104O000009dR2RQAU","0PSU0000000SUKzOAO","PartyConsent","true","true","true","true","true","true"
"1104O000009dR36QAE","0PSU0000000SUKzOAO","CommSubscriptionChannelType","true","true","true","true","true","true"
"1104O000009dR39QAE","0PSU0000000SUKzOAO","CommSubscriptionConsent","true","true","true","true","true","true"
"1104O000009dR3DQAU","0PSU0000000SUL6OAO","EngagementChannelType","true","true","true","true","false","false"
"1104O000009dR3GQAU","0PSU0000000SUL6OAO","PartyConsent","true","true","true","true","false","false"
"1104O000009dR3IQAU","0PSU0000000SUL6OAO","CommSubscriptionTiming","true","true","true","true","false","false"
"1104O000009dR3JQAU","0PSU0000000SUL6OAO","CommSubscriptionChannelType","true","true","true","true","false","false"
"1104O000009dR3KQAU","0PSU0000000SUL6OAO","CommSubscription","true","true","true","true","false","false"
"1104O000009dR3LQAU","0PSU0000000SUL6OAO","CommSubscriptionConsent","true","true","true","true","false","false"
"1104O000009dR3OQAU","0PS0B000000b6FJWAY","DelegatedAccount","true","false","false","false","true","false"
"1104O000009dR3XQAU","0PS0B000000b6FJWAY","CommSubscriptionTiming","true","false","false","false","true","false"
"1104O000009dR3cQAE","0PS0B000000b6FJWAY","CommSubscription","true","true","true","true","true","true"
"1104O000009dR3iQAE","0PS0B000000b6FJWAY","EngagementChannelType","true","true","true","true","true","true"
"1104O000009dR3mQAE","0PS0B000000b6FJWAY","PartyConsent","true","false","false","false","true","false"
