"Id","Name","Stock_Checked__c","Inventory_Count_Date__c","Location__c","Current_Location__c","Physical_Location__c"
"a06Ro00000CNdutIAD","328783","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake City, UT | Main G 01A","Milwaukee, WI"
"a06Ro00000CNduuIAD","328784","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - G01A","Milwaukee, WI"
"a06Ro00000CNduvIAD","328785","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - G01A",""
"a06Ro00000CNduwIAD","328786","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - G01A",""
"a06Ro00000CNduxIAD","328787","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - G01A",""
"a06Ro00000CNduyIAD","328788","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - G01A",""
"a06Ro00000CNduzIAD","328789","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - G01A",""
"a06Ro00000CNdv0IAD","328790","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - G01A",""
"a06Ro00000CNdv1IAD","328791","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - G01A",""
"a06Ro00000CNdv2IAD","328792","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - G01A",""
"a06Ro00000CNdv3IAD","328793","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - G01A",""
"a06Ro00000CNdv5IAD","328795","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - G02E",""
"a06Ro00000CNdv6IAD","328796","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - G02E",""
"a06Ro00000CNdv7IAD","343483","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT - Main - C02C",""
"a06Ro00000CNdv8IAD","343484","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT - Main - C02C",""
"a06Ro00000CNdv9IAD","343485","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT - Main - C02C",""
"a06Ro00000CNdvAIAT","343486","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT - Main - C02C",""
